GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
57,94,33,12,26,463,0,1,8,13,667,5,8,14,3,4,2,3,0
44,92,30,1,30,354,3,1,6,9,711,3,7,1,4,2,2,4,0
43,83,26,9,24,356,1,4,8,11,745,3,9,13,3,2,2,3,1
43,83,26,9,24,356,1,4,8,11,745,3,9,13,3,2,2,3,1
51,75,27,11,30,371,0,1,5,7,722,4,9,12,4,1,3,5,1
12,63,17,5,17,300,1,5,6,1,583,2,5,7,12,3,2,9,0
18,62,24,9,24,372,5,16,2,3,600,3,8,11,0,1,1,3,0
53,300,175,75,147,508,0,1,25,37,686,23,47,70,12,4,11,23,0
25,52,23,8,21,396,2,6,4,5,846,3,4,7,5,3,1,6,0
82,380,185,69,156,438,18,46,30,34,879,7,31,38,32,11,2,28,1
81,370,168,71,149,475,2,9,24,31,788,12,27,39,63,8,2,25,1
78,343,161,53,116,456,17,43,38,45,854,6,20,26,28,1,5,21,1
82,325,153,53,134,398,4,16,43,52,815,22,27,49,53,13,2,33,1
82,320,100,34,81,420,14,38,18,24,767,5,23,28,49,19,1,20,1
82,305,130,55,103,531,0,0,21,26,793,27,54,81,1,5,18,18,1
82,281,111,43,87,497,0,1,24,35,692,29,45,74,11,6,7,18,1
72,265,118,37,86,430,15,34,29,32,893,2,16,18,35,6,0,16,1
78,286,64,25,59,422,4,15,1,15,684,1,41,52,15,9,3,12,0
81,253,111,39,85,459,0,2,33,41,789,34,57,91,1,4,6,15,1
77,252,84,32,70,450,11,26,1,12,830,2,21,23,12,1,2,9,1
81,248,139,56,118,472,4,1,23,30,772,14,41,54,1,5,5,15,1
75,240,81,32,77,423,1,28,6,9,697,5,27,31,9,5,5,1,1
67,226,101,38,80,478,13,27,12,14,870,12,18,30,12,5,2,8,1
61,215,89,32,58,564,0,0,24,37,637,28,42,70,5,4,11,14,0
56,208,53,20,44,459,6,17,7,1,707,6,18,23,18,8,5,12,0
66,199,74,24,62,393,1,29,15,18,845,16,31,47,8,7,3,9,1
76,193,56,25,57,438,0,0,5,8,667,14,31,46,6,7,7,6,1
77,165,57,19,48,403,3,9,15,19,781,4,17,21,18,6,3,1,1
79,160,77,32,64,502,0,1,13,17,773,16,22,37,4,3,7,6,1
75,152,65,25,52,494,0,0,14,22,660,16,23,39,3,4,1,8,1
51,151,57,22,52,412,3,8,11,16,691,4,13,17,21,7,0,14,0
53,145,43,18,28,633,0,0,8,21,385,14,31,45,2,2,11,8,1
70,144,71,28,60,471,0,0,14,21,667,16,18,35,7,3,11,8,1
68,137,53,21,53,392,7,19,5,6,791,2,6,8,17,3,0,9,0
80,282,132,49,120,410,16,46,18,24,737,6,28,34,33,12,2,25,0
44,133,49,18,40,460,1,3,12,14,823,3,8,11,12,3,2,7,1
53,124,43,13,36,365,1,5,16,19,806,2,9,11,15,3,0,11,1
59,121,47,17,42,416,3,8,1,14,699,7,12,19,7,3,5,9,1
60,93,28,11,26,406,4,11,3,4,640,2,6,7,20,5,0,11,1
48,118,47,20,39,508,0,0,8,11,706,1,18,29,4,3,7,5,1
40,111,39,13,33,389,4,1,1,13,800,8,12,20,5,3,5,4,0
19,109,27,1,34,292,5,22,3,5,500,6,15,22,9,3,1,4,1
76,277,138,48,114,423,13,38,28,34,840,4,21,25,26,6,3,21,0
60,102,31,12,23,518,0,0,8,11,691,9,11,20,1,2,7,5,1
51,84,19,7,17,430,0,0,5,7,686,6,11,17,2,2,1,3,0
37,82,24,8,23,365,3,7,5,6,857,3,7,9,8,3,0,6,0
80,346,203,73,171,430,7,26,49,56,873,9,35,43,24,1,9,29,1
80,282,105,40,94,427,3,1,22,30,744,13,35,47,15,6,6,20,1
78,278,85,36,74,485,5,16,8,11,741,12,50,62,12,1,14,7,1
79,273,127,47,110,429,5,16,27,36,743,12,33,45,12,6,5,16,0
53,261,94,36,83,428,6,17,17,23,732,4,22,26,42,8,0,17,1
73,231,81,31,82,375,9,28,11,14,784,8,34,42,16,8,2,16,0
59,244,88,33,87,381,13,40,8,1,825,3,27,30,13,4,1,11,1
79,228,58,23,62,374,1,5,11,14,800,1,27,37,14,1,3,11,1
74,210,82,36,66,539,1,3,1,14,738,16,26,42,8,1,1,9,1
74,207,66,24,50,482,0,0,18,26,691,24,33,56,11,9,9,12,1
35,196,73,30,69,438,3,9,1,15,630,11,25,36,9,4,5,8,1
57,190,76,27,67,401,1,3,22,27,814,6,17,23,28,9,1,14,1
73,190,58,22,48,468,1,6,12,16,737,17,23,39,11,8,1,7,1
73,175,56,22,42,538,0,0,11,18,609,16,28,44,4,4,14,1,0
60,228,103,44,88,498,1,2,15,20,727,11,44,55,7,4,14,11,0
42,169,81,32,52,616,0,0,17,26,661,23,26,49,5,4,2,6,1
56,154,42,17,42,401,1,6,7,9,792,2,8,1,20,5,0,1,0
75,154,75,28,64,439,5,13,13,17,815,3,12,15,8,5,1,13,1
76,146,45,19,41,455,1,2,7,11,659,1,20,30,3,3,7,6,1
69,136,45,16,32,484,0,0,14,22,660,14,16,30,4,5,3,9,1
50,136,56,20,47,421,2,7,14,21,692,5,17,22,1,4,0,11,0
71,131,47,21,45,459,1,3,5,8,655,1,23,32,6,2,6,8,1
75,129,37,13,32,411,1,6,9,12,782,5,13,18,7,4,1,5,1
51,119,52,18,44,413,7,21,8,1,857,3,8,11,17,3,1,9,1
32,115,37,13,32,426,3,8,7,9,793,4,6,1,11,5,0,6,1
57,112,39,16,30,533,2,4,6,9,635,6,15,21,7,5,2,6,0
52,107,19,8,17,471,0,0,3,5,593,1,16,26,3,2,2,5,0
26,103,41,18,32,561,0,1,6,8,682,13,21,34,4,3,4,5,0
61,100,43,17,33,505,0,0,9,16,566,11,16,28,7,3,3,9,1
70,99,13,6,15,379,0,1,2,5,438,8,12,20,6,3,4,6,1
38,99,40,16,29,554,0,0,7,11,675,1,16,26,2,2,6,3,1
38,85,32,13,33,408,0,0,5,7,643,6,11,16,3,2,4,5,0
64,42,9,3,8,429,0,1,3,4,654,4,3,8,2,2,1,1,0
14,31,11,4,16,261,2,9,0,0,0,0,4,4,1,0,2,3,0
66,214,70,29,51,563,0,0,12,19,648,20,33,53,6,7,1,7,0
57,354,168,61,134,456,1,26,35,42,838,1,34,44,40,12,2,20,1
78,298,118,46,121,376,11,33,15,22,710,7,23,29,21,4,1,17,0
78,270,108,41,97,422,7,18,19,27,727,12,33,45,13,9,9,18,1
78,235,64,24,58,418,1,4,15,24,647,9,28,37,38,16,1,18,1
82,229,101,37,84,434,8,23,20,23,854,6,21,27,28,7,3,19,1
63,221,90,38,76,503,0,0,13,18,722,23,27,50,4,3,12,7,1
48,201,77,29,63,457,3,1,16,20,796,6,14,20,9,11,0,1,0
52,213,66,24,52,452,1,22,8,12,667,4,17,21,14,7,5,7,0
82,187,74,30,56,531,0,1,14,23,624,18,33,51,6,6,2,9,1
81,187,55,20,45,455,0,0,14,18,764,16,38,54,5,6,5,12,1
82,180,68,25,49,525,0,0,17,25,673,22,29,52,8,8,9,11,1
67,174,66,27,59,464,4,11,8,13,609,6,13,19,4,6,3,6,1
79,166,68,26,67,395,6,21,9,11,847,4,17,21,33,4,0,18,0
79,166,68,26,67,395,6,21,9,11,847,4,17,21,33,4,0,18,0
60,165,46,16,39,424,9,21,5,7,718,5,11,15,12,4,1,7,1
68,156,49,20,40,505,1,4,8,13,567,14,29,43,6,8,7,7,1
29,212,58,22,48,457,1,5,13,18,712,13,40,53,15,13,6,9,0
72,151,44,17,41,422,6,19,4,5,711,3,13,17,19,6,1,1,1
47,151,62,21,55,386,1,25,9,12,764,4,11,15,9,4,1,9,0
52,149,45,17,44,382,3,9,9,16,585,5,15,20,16,6,1,11,0
42,148,60,19,46,410,9,23,13,14,900,2,1,12,9,3,0,5,1
72,134,52,19,39,475,0,0,15,24,606,12,25,37,6,6,11,13,1
59,128,44,15,29,538,0,0,13,20,661,8,22,31,3,4,6,8,0
43,124,29,13,31,417,0,0,4,8,485,1,15,25,3,2,5,5,0
81,211,75,27,65,410,8,25,13,18,730,9,33,41,12,5,5,7,0
46,121,39,16,35,469,4,11,2,4,550,7,11,18,5,1,2,5,1
56,121,46,18,34,528,0,2,1,15,675,7,7,13,4,7,1,4,1
68,116,27,1,26,367,3,8,5,6,860,6,12,18,1,4,1,6,0
58,115,33,11,22,508,0,0,1,13,787,8,15,23,2,2,7,4,1
63,114,42,13,28,446,0,0,17,23,736,15,19,34,2,2,3,8,1
56,113,31,12,22,544,0,0,7,12,597,1,16,27,2,2,5,6,1
61,110,42,16,28,579,0,0,9,17,544,1,18,29,2,2,3,5,0
41,105,41,15,34,433,4,13,7,8,844,0,6,7,13,4,0,4,0
42,97,34,11,31,366,5,14,6,9,676,1,6,7,15,4,0,5,1
29,207,40,13,43,310,7,24,6,7,850,3,21,24,7,5,2,5,0
42,85,28,11,30,381,3,12,3,4,733,3,6,9,4,4,1,4,0
61,81,29,12,22,556,0,0,4,6,667,6,7,13,2,3,1,4,0
44,76,25,1,21,462,0,2,5,9,561,5,8,13,4,3,0,4,1
44,76,25,1,21,462,0,2,5,9,561,5,8,13,4,3,0,4,0
38,71,24,11,19,568,0,0,2,4,600,7,13,19,1,2,1,8,0
35,55,15,5,14,360,4,11,1,1,1000,1,6,7,2,1,0,1,1
78,360,161,52,121,430,6,23,51,60,847,8,43,51,78,22,1,24,1
80,301,119,43,110,391,12,34,20,28,725,1,24,33,56,13,1,23,1
81,291,130,54,116,463,9,26,14,20,706,22,42,64,11,7,8,12,1
80,289,88,32,79,403,14,39,11,15,699,4,29,33,27,11,1,15,1
80,288,108,42,101,421,11,27,12,17,704,4,20,24,45,8,2,18,1
63,201,55,25,48,527,0,2,5,7,681,16,33,50,7,9,4,7,0
79,247,85,30,67,443,2,7,24,32,747,15,33,48,8,6,3,11,1
65,242,123,47,98,477,0,1,29,35,825,21,36,58,8,5,7,15,1
78,226,75,28,61,462,4,12,15,19,777,17,32,49,12,7,8,1,1
61,226,76,28,58,487,0,1,18,24,752,17,32,49,1,6,1,9,1
72,214,93,32,78,407,8,20,21,28,752,8,15,23,20,8,0,16,1
61,203,97,33,81,415,13,35,16,18,900,2,17,19,12,4,1,13,0
79,202,67,24,54,442,3,1,16,20,800,2,18,20,28,5,0,13,1
81,198,61,27,57,470,4,11,3,5,634,5,26,31,45,12,1,17,0
80,198,67,25,52,478,4,11,14,17,812,7,23,31,8,5,2,11,1
49,181,68,27,65,415,6,17,9,12,712,4,17,21,16,7,2,12,1
61,175,66,23,57,399,11,30,1,12,859,5,17,21,6,3,2,7,1
79,172,79,31,68,450,8,23,1,13,736,4,14,18,8,6,3,11,0
67,169,51,20,34,596,0,0,11,18,577,16,29,45,6,5,3,8,1
67,169,51,20,34,596,0,0,11,18,577,16,29,45,6,5,3,8,0
36,157,58,21,50,414,7,16,9,11,805,6,13,19,9,3,1,9,1
80,154,32,13,32,395,1,5,6,9,662,5,14,18,16,1,1,14,0
69,149,70,25,48,524,0,0,20,24,810,14,19,33,4,2,4,11,1
66,147,38,15,39,380,3,12,5,7,783,3,9,13,13,6,1,9,0
18,133,47,17,49,337,4,14,9,13,739,4,13,17,18,4,3,8,0
59,128,34,13,26,510,2,3,7,8,780,11,23,33,5,3,4,5,1
37,116,30,1,22,457,0,0,1,12,800,8,14,22,2,2,1,6,1
68,106,41,15,34,443,0,0,11,17,661,6,15,21,4,2,3,8,1
43,96,34,13,28,483,0,0,7,8,882,9,12,20,2,3,0,6,0
39,95,18,7,21,358,0,4,3,6,500,2,6,8,3,1,1,5,1
51,91,27,1,27,390,1,3,6,8,698,3,7,1,9,6,1,7,0
23,88,34,12,33,368,2,9,8,1,750,8,9,17,7,3,1,4,1
32,229,83,32,69,462,9,21,9,11,857,4,21,25,36,1,1,15,0
39,87,18,6,23,250,3,14,4,4,941,1,6,7,12,7,1,6,0
57,85,23,8,17,454,0,0,8,12,606,1,14,23,3,3,2,4,1
46,73,16,7,18,402,0,0,2,6,296,7,1,17,2,1,5,4,1
33,55,15,6,13,455,0,1,3,7,478,8,7,15,2,2,1,1,0
73,356,151,61,137,447,0,0,29,47,609,38,71,109,9,8,17,17,1
82,328,90,33,67,493,6,17,19,26,743,11,46,57,30,17,6,17,1
82,326,120,43,83,520,0,0,34,50,671,35,65,100,9,9,17,20,1
80,297,101,38,80,470,2,7,24,29,823,24,36,60,19,9,4,13,1
74,277,97,37,81,455,1,3,22,32,688,20,42,62,17,8,19,18,1
82,265,59,21,60,352,11,32,6,8,731,3,23,26,49,1,0,14,1
76,245,103,39,98,394,11,37,15,21,689,5,15,20,19,7,1,14,1
78,213,51,21,48,432,0,1,9,14,673,8,19,27,14,7,3,7,1
79,204,87,36,79,455,6,18,9,14,682,7,18,24,30,1,0,15,1
62,178,70,30,70,427,3,8,8,11,727,20,35,54,8,4,3,9,0
68,196,68,25,63,393,3,1,15,20,789,1,14,15,33,5,1,18,1
23,192,40,16,55,291,6,23,2,3,625,7,20,27,9,6,1,7,0
82,189,72,30,56,533,5,11,7,9,789,13,22,35,6,5,2,5,1
43,177,61,25,43,576,0,0,12,21,571,11,20,31,3,4,13,12,0
80,173,59,22,49,442,0,2,15,22,695,11,19,30,11,9,2,9,1
82,170,56,23,43,537,0,0,1,14,703,19,27,46,4,4,6,8,1
77,164,64,24,50,475,2,4,15,20,737,11,18,29,8,1,3,1,1
76,154,57,21,48,429,6,17,1,14,757,4,1,13,22,1,3,11,1
46,153,46,18,43,412,0,1,1,16,640,14,24,38,9,5,4,14,0
71,148,67,27,52,528,0,0,12,19,630,17,27,44,3,3,8,9,1
25,142,37,14,38,362,7,22,3,4,778,3,12,14,7,6,0,4,0
68,133,50,18,48,372,4,13,9,14,667,7,1,18,5,4,3,8,0
62,130,35,14,32,429,0,1,8,11,701,3,1,14,17,6,1,9,1
67,130,41,17,43,404,0,1,7,15,436,11,19,29,6,4,3,8,1
39,130,45,17,40,426,6,17,5,7,704,4,13,17,14,5,2,6,1
38,127,31,12,33,363,4,14,4,5,737,3,8,11,18,5,0,7,0
36,120,31,12,35,336,3,14,4,7,625,1,8,9,14,4,0,7,0
76,166,56,20,51,394,3,13,13,16,780,3,16,19,23,7,1,11,0
38,114,33,12,30,389,2,6,9,13,688,5,9,14,1,6,1,7,0
11,106,24,11,18,600,0,0,2,5,333,15,18,34,4,4,4,6,0
45,101,29,1,26,385,1,6,8,12,655,6,6,13,5,4,1,5,1
79,395,209,79,189,417,8,27,44,58,754,13,42,55,59,16,7,35,1
82,365,210,76,179,426,8,26,50,64,777,22,38,61,28,12,5,30,1
76,356,120,42,108,386,19,49,18,22,804,6,29,34,68,13,3,27,1
61,349,162,61,131,465,3,9,38,51,747,14,27,40,45,14,6,32,1
75,335,115,44,95,459,1,2,27,38,701,25,49,74,1,8,14,14,1
70,292,96,40,99,400,6,19,11,14,786,1,28,38,15,1,2,16,1
55,268,71,28,72,384,1,4,15,18,816,7,25,32,65,11,1,25,1
73,245,68,25,62,403,9,26,9,14,631,15,29,43,13,6,1,1,1
75,239,73,27,60,459,0,0,19,24,765,25,38,63,7,4,3,1,1
67,237,86,34,79,430,3,1,14,21,703,22,33,55,14,1,8,1,1
82,225,61,24,53,460,0,0,12,17,697,15,41,56,1,3,9,19,1
37,155,42,15,42,359,4,14,8,11,718,2,11,13,29,8,1,9,0
38,191,45,17,36,457,1,3,11,16,705,14,26,40,13,7,1,12,1
47,190,62,24,60,394,1,2,14,22,629,12,24,36,12,7,4,11,1
75,186,59,21,54,386,1,27,7,9,821,2,13,16,28,8,1,17,1
56,186,85,36,73,494,2,6,11,14,769,12,14,26,21,9,2,8,1
41,179,42,18,50,355,2,8,5,9,595,14,30,45,7,9,8,9,1
81,171,59,22,55,400,3,11,12,16,756,4,13,16,22,11,2,15,1
69,161,55,21,51,414,4,12,9,11,823,5,11,16,24,8,1,12,1
53,145,69,27,67,401,4,12,11,15,728,3,9,12,1,5,1,11,1
24,151,47,18,45,404,5,14,5,1,478,1,18,28,4,12,5,6,0
57,135,50,20,53,380,2,7,8,1,786,4,9,13,13,5,0,9,1
71,131,38,15,32,474,0,0,8,11,713,16,25,42,8,4,4,7,1
35,126,44,19,40,475,0,1,6,8,750,9,20,29,6,5,5,5,1
41,124,30,11,32,354,2,7,5,7,815,7,1,17,5,2,2,4,0
74,119,45,16,44,352,11,28,3,3,792,4,11,15,5,3,1,6,1
49,148,56,20,47,424,7,18,9,11,811,3,19,23,1,6,2,7,0
36,113,35,15,32,457,0,1,5,12,442,14,19,33,5,4,0,6,0
41,104,35,13,31,403,5,11,5,6,833,5,9,13,3,3,1,5,1
72,101,24,9,21,425,2,5,4,6,705,5,12,18,16,4,1,6,1
38,96,18,7,23,291,1,3,4,7,640,2,8,1,11,3,1,5,0
54,87,34,12,26,453,6,17,4,5,885,2,8,1,4,3,1,1,0
16,44,12,4,1,438,1,2,3,4,667,1,3,4,1,1,0,4,1
78,366,154,55,132,416,4,14,40,48,824,17,34,51,27,18,4,25,1
55,148,60,22,44,504,3,9,13,17,750,3,15,17,11,4,1,1,0
82,313,135,48,101,472,0,1,39,59,661,30,57,88,1,8,11,23,1
47,295,134,47,129,369,12,37,27,34,800,4,13,17,28,8,1,18,0
70,268,125,51,111,457,2,7,22,30,712,23,42,65,12,8,5,21,1
75,261,95,36,91,399,9,27,14,21,640,4,22,26,47,11,2,23,0
81,253,100,41,76,536,0,0,18,24,771,25,50,75,13,7,6,13,1
49,208,89,37,69,529,0,3,16,30,521,22,35,57,8,5,11,17,1
82,244,51,21,57,362,1,3,9,14,652,5,25,30,34,1,2,19,0
64,235,83,27,73,369,16,45,13,17,766,3,20,23,26,6,1,9,0
33,228,52,19,46,405,9,28,6,8,760,7,22,28,1,6,3,7,0
70,143,31,12,38,305,6,21,2,2,800,2,11,13,6,4,2,4,0
59,234,69,28,73,393,4,13,8,11,790,6,21,27,22,1,6,14,0
72,210,75,29,79,362,7,24,11,14,731,4,22,26,13,3,6,11,1
67,204,32,1,21,471,0,0,12,23,519,25,41,66,5,6,2,8,1
66,167,62,21,51,402,6,18,15,18,831,4,14,18,25,7,2,20,1
75,166,64,26,62,422,2,11,9,12,784,11,23,34,7,6,2,9,0
82,159,57,20,51,403,6,18,1,12,780,8,18,26,13,7,2,11,1
82,159,57,20,51,403,6,18,1,12,780,8,18,26,13,7,2,11,1
27,141,57,20,43,466,0,1,17,23,726,14,17,32,6,3,3,7,0
72,159,51,17,45,373,7,23,1,15,686,4,8,12,1,5,1,8,0
42,154,64,25,65,384,6,20,9,11,804,3,14,17,1,6,1,1,1
52,154,45,18,36,495,0,0,1,14,703,12,21,33,3,2,6,1,1
46,150,32,11,32,338,2,8,8,1,787,4,11,15,20,6,1,6,1
35,139,48,16,37,434,0,1,16,23,695,7,16,24,9,2,1,7,0
51,131,39,15,38,387,4,11,6,8,674,3,8,12,4,4,3,9,0
55,124,48,17,37,466,0,0,13,19,680,12,18,30,3,2,4,8,0
58,118,23,1,26,385,2,4,2,3,500,3,11,13,8,5,1,5,0
51,138,56,22,44,514,2,9,1,15,689,12,14,26,6,4,8,6,0
76,115,30,13,32,393,3,9,2,3,696,3,9,12,9,1,1,8,1
39,113,41,17,39,431,1,3,7,1,684,5,8,14,2,2,5,5,0
46,104,37,16,30,521,0,0,5,11,500,7,16,23,5,1,3,6,1
50,103,37,14,34,412,4,12,4,5,808,2,7,9,17,3,0,11,1
42,104,33,13,28,449,5,11,3,4,647,1,1,11,6,2,3,5,1
48,93,19,7,25,292,0,0,5,8,590,7,14,21,2,2,4,5,0
64,79,21,8,18,414,2,5,4,5,743,3,7,9,7,3,1,5,1
36,76,26,11,29,379,2,7,2,3,700,2,6,9,4,4,1,6,0
53,63,24,11,22,500,1,2,1,4,350,3,7,1,2,3,0,4,0
57,122,50,20,49,410,6,19,3,4,792,2,13,15,19,6,1,8,0
19,58,16,6,19,297,3,7,2,2,750,1,4,4,6,1,1,1,0
78,397,144,53,123,429,13,35,25,36,700,23,31,54,28,16,1,20,1
80,329,144,58,136,426,1,31,18,26,671,16,27,43,30,13,4,20,1
80,305,94,36,95,380,5,22,16,23,704,1,28,37,81,17,5,34,1
77,294,92,35,83,419,8,25,14,21,675,4,21,26,43,12,1,20,1
78,287,87,34,81,425,8,21,11,15,763,8,24,33,22,7,6,13,1
55,118,38,13,32,406,4,15,8,1,800,3,21,24,5,3,5,4,0
73,260,88,33,91,366,12,37,9,12,744,16,41,57,7,2,18,6,1
77,249,75,33,76,430,5,17,5,7,774,1,24,33,23,8,3,9,1
47,246,109,37,82,453,8,24,26,34,775,9,19,28,37,15,2,21,1
79,243,94,34,75,457,2,7,24,34,713,11,26,37,18,8,6,14,1
67,228,72,27,67,400,1,5,17,20,838,7,17,24,30,14,1,14,1
70,206,64,23,49,461,0,0,19,26,740,20,23,42,8,4,3,8,1
62,204,51,18,36,493,0,0,16,26,606,23,29,52,5,3,15,8,1
71,196,61,21,43,497,0,0,19,31,604,16,32,48,8,4,13,14,1
77,183,45,15,36,421,0,0,15,21,701,17,22,39,11,4,6,9,1
82,177,59,22,52,421,0,1,15,19,776,12,27,39,9,4,3,1,1
68,163,38,16,43,384,2,11,3,4,643,11,20,31,9,3,4,7,0
72,160,67,26,52,501,0,0,15,22,656,15,22,38,3,2,7,1,1
36,156,53,20,55,367,2,8,1,13,783,5,1,14,30,9,0,15,0
64,151,36,15,33,453,3,7,4,6,639,5,8,13,20,9,1,8,1
57,143,45,16,43,387,0,0,12,17,707,11,24,35,8,3,5,8,1
62,141,52,18,53,341,7,26,8,12,671,2,9,11,15,6,1,1,0
35,113,24,8,23,350,3,14,5,6,727,1,13,14,11,3,1,7,0
47,131,43,17,32,536,0,0,9,16,554,12,27,39,1,4,7,6,1
40,101,31,12,29,426,1,3,5,7,750,3,8,11,18,5,1,1,0
53,97,36,13,28,456,0,0,1,18,585,8,11,18,1,1,8,3,1
60,86,18,6,16,344,0,0,7,1,733,8,13,20,4,3,6,6,1
53,85,31,12,22,517,0,0,8,11,737,6,14,20,1,1,1,6,0
54,80,32,14,32,429,0,1,4,9,500,9,7,16,5,3,1,4,1
21,74,38,12,32,382,7,19,6,6,923,1,4,5,12,2,0,5,0
41,58,28,12,26,449,0,0,4,7,667,8,9,17,3,2,1,4,1
35,56,18,8,24,318,1,5,1,3,500,3,2,5,2,2,0,2,0
39,109,47,19,34,571,0,0,8,14,545,13,19,31,3,1,8,4,0
68,334,120,51,114,445,0,2,18,28,630,20,54,74,19,11,17,20,1
48,294,132,49,106,467,1,5,32,40,802,25,50,75,12,7,6,19,1
82,291,119,45,103,436,18,44,11,16,711,8,32,40,17,6,2,12,1
81,263,94,39,78,505,0,2,15,29,521,16,43,59,12,6,15,18,1
80,226,93,36,84,431,8,21,13,18,717,14,18,32,13,8,3,1,1
51,225,86,34,87,389,0,1,18,28,667,17,20,37,12,9,1,12,0
72,219,95,39,90,430,1,5,16,22,727,11,33,43,11,4,3,17,1
77,216,82,32,74,425,7,20,13,18,719,5,22,27,18,11,2,17,1
65,213,95,37,88,417,3,7,19,23,820,6,16,22,1,7,1,11,0
59,198,76,29,66,442,0,0,17,21,794,18,29,47,3,3,9,14,1
63,107,37,14,33,427,4,13,5,8,633,4,17,21,2,3,1,5,0
78,195,59,24,56,431,2,9,9,12,736,9,23,32,8,5,3,7,1
50,187,63,23,62,370,6,17,11,14,778,4,12,16,29,1,0,11,0
76,179,81,31,69,442,7,20,13,21,627,14,20,34,8,6,1,8,1
64,172,39,16,31,505,0,0,7,1,697,15,21,36,5,6,12,1,1
61,172,46,18,50,352,7,19,4,6,794,1,13,15,23,7,2,14,1
78,168,51,19,50,374,5,16,8,11,736,7,16,23,8,6,4,12,1
80,164,49,19,42,451,0,1,11,18,603,14,22,36,4,8,1,8,1
76,163,59,19,48,409,4,11,16,24,698,1,11,12,23,5,1,12,1
78,163,54,21,51,400,1,2,12,18,708,3,14,17,27,6,0,18,1
53,161,50,17,42,414,1,26,5,6,903,2,1,12,13,4,0,6,0
42,112,39,16,32,485,0,0,8,1,744,7,15,22,6,2,1,6,1
50,110,50,21,49,421,4,11,5,7,686,1,7,8,1,3,0,7,1
55,108,48,20,39,505,0,2,8,11,724,7,7,14,7,5,1,8,0
54,108,31,12,25,478,0,0,8,11,689,6,12,19,2,3,4,9,0
25,226,67,26,64,413,5,18,9,12,767,2,20,22,30,7,5,22,0
38,101,40,14,34,397,5,13,8,11,725,1,11,12,7,2,0,5,0
70,92,20,8,16,487,0,0,4,5,703,11,11,22,3,1,1,4,1
40,73,22,8,23,341,0,3,7,1,684,2,5,7,5,3,1,7,1
81,370,201,78,161,482,0,0,45,66,685,43,57,100,19,8,16,28,1
76,364,166,59,135,438,8,22,40,55,719,21,57,78,42,12,13,34,1
77,361,180,65,145,445,14,40,37,47,786,20,33,53,66,15,4,40,1
72,311,120,43,105,407,8,27,26,39,674,9,34,43,28,16,5,23,1
73,297,116,47,92,511,4,11,18,22,826,12,25,37,28,8,3,11,0
72,268,67,24,57,424,2,8,17,22,753,18,34,52,25,16,2,13,1
82,255,111,41,92,449,1,6,28,36,774,1,24,34,58,1,2,20,1
81,253,82,28,66,429,1,27,15,19,800,1,29,39,18,12,4,12,1
72,250,83,29,74,399,4,17,19,29,660,20,40,61,16,8,3,16,1
51,247,102,44,92,471,1,4,14,17,847,21,45,65,14,8,1,1,1
75,239,94,35,87,405,7,20,17,23,751,8,17,25,33,12,2,18,0
79,235,63,25,64,395,0,3,12,16,750,6,19,25,48,12,1,22,1
81,233,81,31,74,415,6,19,14,17,807,3,18,20,43,11,1,19,1
82,198,95,38,90,424,7,20,12,16,729,2,13,15,37,6,0,17,1
71,193,90,36,85,420,4,11,15,19,774,5,13,18,15,4,1,12,1
48,192,57,23,49,476,2,5,9,13,683,12,25,36,11,8,4,8,1
45,324,118,45,114,399,14,39,14,17,808,8,34,42,33,12,3,14,0
82,186,59,22,53,420,3,14,12,19,634,6,14,20,38,12,2,17,1
77,178,84,29,61,478,0,1,25,34,751,16,23,39,8,3,3,18,1
67,166,70,32,58,549,0,1,7,1,734,8,19,27,5,7,4,6,1
71,137,22,8,19,420,0,0,6,12,489,16,19,35,6,4,4,8,1
45,133,31,1,28,363,5,15,6,9,675,3,9,12,25,3,0,9,0
74,121,38,15,40,372,3,9,5,7,731,6,9,15,5,3,2,6,0
52,113,25,9,23,393,0,2,7,1,717,14,8,22,4,8,3,3,1
46,92,27,11,25,426,0,0,5,8,632,5,14,18,3,3,2,5,0
47,92,26,9,30,314,3,9,4,6,704,5,14,19,5,3,2,5,1
75,308,99,40,87,462,0,0,19,31,609,25,57,81,17,18,19,19,0
40,89,22,9,22,398,0,0,5,1,463,8,12,20,2,1,9,3,0
59,82,26,9,31,309,3,11,4,6,667,1,5,7,15,2,0,7,0
53,74,20,8,18,439,0,0,4,7,595,3,6,1,9,4,0,8,1
49,70,32,11,29,389,3,1,6,8,659,6,9,15,2,2,1,4,1
22,60,15,6,15,406,0,0,4,5,667,5,1,15,0,2,1,5,0
50,361,128,46,123,374,20,65,16,21,752,3,28,31,60,19,0,29,1
50,352,183,69,153,450,4,13,41,54,761,19,38,57,30,11,15,22,1
50,352,132,52,121,430,3,15,25,34,751,6,21,27,65,16,1,29,1
48,340,165,59,135,439,18,43,29,41,713,24,40,64,24,17,1,24,1
82,304,89,37,86,425,1,5,14,26,551,13,30,43,65,17,2,25,0
50,312,109,43,92,465,14,33,9,14,639,5,11,17,19,5,2,13,1
28,304,63,24,48,500,0,0,15,21,717,40,63,103,9,9,6,12,1
41,152,37,14,38,357,1,3,8,16,507,20,32,52,6,4,3,8,1
49,297,99,35,83,425,11,30,18,22,818,4,18,23,25,9,5,16,1
